"SMILES","pts"
"O=C(OCCOCCOC(=O)C1=C(C=CC=C1)C(=O)O[Hg]C1=CC=CC=C1)C1=C(C=CC=C1)C(=O)O[Hg]C1=CC=CC=C1",6.803836
"OCC(O)C(O)C(O)C(O)C(=O)NCCCCC(NC(=O)C(O)C(O)C(O)C(O)CO)C(O)=O",2.13623
"N\C(NCCCC(NC(=O)C(O)C(O)C(O)C(O)CO)C(O)=O)=N\C(=O)C(O)C(O)C(O)C(O)CO",2.34324
"CC(C)C(NC(=O)C(O)C(O)C(O)C(O)CO)C(O)=O",1.43231
"CCCCCCCCCCCCCCCCC(=O)O[Al]=O",3.23711
"CC1(C)CC(CC(C)(CNC(=O)NC2CC(C)(C)NC(C)(C)C2)C1)N=C=O",2.49846
"CCCCCCCCCCCCOP(OCCCCCCCCCCCC)OC(C)COCC(C)OP(OCCCCCCCCCCCC)OCCCCCCCCCCCC",3.40247
"CCCCCCCCCCCCCC(=O)O[Si](C)(C)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F",4.05313
"COC1=CC(=CC=C1\N=N\NC#N)C1=CC=C(\N=N\N(C)CCS(=O)(=O)O[Na])C(OC)=C1",4.88275
"CCN(CC)C1=CC(C)=C(C=C1)\N=N\C1=[N](C)(Cl)N(C)C2=C1C=C(C=C2)N(=O)=O",5.422595
"CC1CC2C3CCC(O)(C(=O)COC(=O)C4=C(OC(C)=O)C=CC=C4)C3(C)CC(O)C2C2(C)C=CC(=O)C=C12",5.757088
"CCCCCCCC\C=C/CCCCCCCC(=O)OCC(O)COC(=O)C(C)O",3.33675
"CCCCC(=O)OCC(=O)C12N=NCC1CC1C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC21C",4.855332
"CC1CCC2C(C)(C)C3CC12CC=C3CC(C)=O",3.83386
"O1C(=CC2=CC=CC=C12)C1=NN=C(O1)C1=CC=CC=C1",6.133386
"OC(CCC1CCCCC1)C(\Br)=C\C1C(CC2OC(=O)CC12)OC(=O)C1=CC=CC=C1",5.49052
"Br\C(=C/C1C(CC2OC(=O)CC12)OC(=O)C1=CC=CC=C1)C(=O)CCC1CCCCC1",5.83979
"CC\C(C)=N/O[Si](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)(O\N=C(/C)CC)O\N=C(/C)CC",4.64556
"CC(=O)O[Ca]O",1.90151
"CCOC(=O)C1=NN(C(=O)C1)C1=CC=CC=C1S(O)(=O)=O",2.17078
"OC1=CC(=CC(O)=C1)C(=O)O[Cu]O[Cu]OC(=O)C1=CC(O)=CC(O)=C1",6.79513
"CC(C)(C)C1=CC=C(OS(=O)(=O)C2=C3C=CC4=C(ON=N4)C3=CC=C2)C=C1",5.03496
"CC(COC(=O)C=C)OCC(COC(C)COC(=O)C=C)OC(C)COC(=O)C=C",5.6071
"CC(O)COCC(COCC(C)OC(=O)C=C)OCC(C)OC(=O)C=C",4.73647
"CC(O)COC(COCC(C)OC(=O)C=C)COCC(C)OC(=O)C=C",4.72472
"CC(O)COC(COC(C)COCC(C)OC(=O)C(CCCC(O)=O)C(C)COCC(COCC(C)OC(=O)C=C)OCC(C)OC(=O)C=C)COC(=O)C=C",4.50234
"CC(CO)OC(=O)NNC(=O)OC(C)CO",2.02254
"CCCCCCC(O)C\C=C\C(CCCCCCC(O)=O)CC(C(=O)OCCO)C(=O)OC1C(O)C(CO)OC(OC2(CO)OC(CO)C(O)C2O)C1O",3.32336
"CCC(=O)OC1(C)CCC23CC1C(C)(C)C2CCC3C",3.45315
"CCC(=O)C(C)C(C)C1CCCCC1",1.56998
"ClC1=CC=CC(Cl)=C1C(=O)NBr",4.25642
"CC(CN1C(=O)C(C)N(CCC(=O)NN)C1=O)C(=O)NN",2.36144
"CCC1N(CCC(=O)NN)C(=O)N(CC(C)C(=O)NN)C1=O",2.42727
"CC(C)C1N(CCC(=O)NN)C(=O)N(CC(C)C(=O)NN)C1=O",2.52448
"CCCC\C(OC(C)=O)=C\CC1CC=C(C)C1(C)C",3.11032
"OCC(O)C(O)C(O)C(O)C(=O)NC(CC1CCCCC1)C(O)=O",1.89239
